Season Start,Season End,Team,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,Salary,Salary w/ Inflation
2014,2015,Oklahoma City Thunder,104.0,38.8,86.8,44.7,7.7,22.7,33.9,18.6,24.6,75.4,12.8,34.7,47.5,20.5,14.7,7.3,5.5,4.6,"$80,408,520 ","$86,413,604 "
2015,2016,Oklahoma City Thunder,110.2,41.1,86.4,47.6,8.3,23.7,34.9,19.7,25.2,78.2,13.1,35.6,48.6,23.0,15.9,7.4,5.9,4.5,"$95,708,387 ","$102,728,953 "
2016,2017,Oklahoma City Thunder,106.6,39.5,87.4,45.2,8.4,25.8,32.7,19.2,25.8,74.5,12.2,34.4,46.6,21.0,15.0,7.9,5.0,5.5,"$91,230,089 ","$96,955,191 "
2017,2018,Oklahoma City Thunder,107.9,39.9,88.1,45.3,10.7,30.4,35.4,17.3,24.2,71.6,12.5,32.6,45.1,21.3,14.0,9.1,5.0,4.6,"$134,534,640 ","$140,679,326 "
2008,2009,Orlando Magic,101.0,35.7,78.2,45.7,10.0,26.2,38.1,19.6,27.5,71.5,10.0,33.3,43.3,19.4,13.9,7.0,5.4,3.8,"$69,672,979 ","$81,558,597 "
2009,2010,Orlando Magic,102.8,36.6,78.0,47.0,10.3,27.3,37.5,19.2,26.5,72.4,9.9,33.4,43.2,19.7,14.1,6.2,5.6,3.5,"$82,200,916 ","$97,616,464 "
2010,2011,Orlando Magic,99.2,36.0,78.2,46.1,9.4,25.6,36.6,17.7,25.6,69.2,10.5,32.7,43.2,20.0,14.9,6.7,4.7,3.8,"$90,770,804 ","$106,669,901 "
2011,2012,Orlando Magic,94.2,34.5,78.2,44.1,10.2,27.0,37.5,15.1,22.8,66.0,11.2,31.2,42.5,20.0,14.9,6.8,4.2,4.1,"$87,955,505 ","$99,809,433 "
2012,2013,Orlando Magic,94.1,37.7,84.2,44.8,6.2,18.7,32.9,12.5,16.6,75.5,10.9,31.9,42.7,22.8,14.5,6.4,4.4,5.2,"$66,557,496 ","$74,291,370 "
2013,2014,Orlando Magic,96.5,36.9,82.7,44.5,6.9,19.5,35.3,15.9,20.9,76.3,9.7,32.4,42.0,21.0,14.9,7.7,4.3,5.4,"$56,948,031 ","$62,469,324 "
2014,2015,Orlando Magic,95.7,37.5,82.8,45.3,6.8,19.5,34.7,13.9,19.1,72.9,10.0,31.8,41.8,20.6,14.9,7.9,3.8,5.4,"$59,629,210 ","$64,082,446 "
2015,2016,Orlando Magic,102.1,39.5,86.8,45.5,7.8,22.2,35.0,15.2,20.1,75.7,10.3,33.0,43.3,23.6,14.1,8.2,5.1,5.5,"$63,199,651 ","$67,835,576 "
2016,2017,Orlando Magic,101.1,38.3,87.0,44.0,8.5,26.1,32.8,16.0,21.4,74.7,9.8,33.3,43.2,22.2,13.3,7.1,4.8,5.1,"$104,096,951 ","$110,629,512 "
